Creature,CR,Category,Size,Type,Tag,SC,AL,Caster Level,Caster Type,AC,HP,#,d,adjustment,walk,burrow,climb,fly,swim,Str,Dex,Con,Int,Wis,Cha,MM,PHB,DMG,LMP,HDQ,ROT,POA,Basic,SRD,HDQ,ROT,DDEN1,DDEX1,POA,DDEN2,DDEX2,DDEN3,DDEX3
Black Dragon Wyrmling,2,Monster,Medium,Dragon,,,CE,,,17,33,6,8,6,30,,,60,30,15,14,13,10,11,13,88,,,,,,,,285,,,,6:26,,,,,
Black Earth Guard,2,NPC,Medium,Humanoid,Human,,NE,,,18,39,6,8,12,30,,,,,17,11,14,10,10,9,,,,,,,195,,,,,,,,,"7:21, 13:31",,
Black Earth Priest,3,NPC,Medium,Humanoid,Human,,NE,5,S,17,45,7,8,14,30,,,,,15,11,14,12,10,16,,,,,,,195,,,,,,,,48,13:31,,
Black Pudding,4,Monster,Large,Ooze,,,U,,,7,85,10,10,30,20,,20,,,16,5,16,1,6,1,241,,,,,,,,340,,,,,10,,"3:24, 4:27",,"3:24, 7:33"
Blagothkus (Cloud Giant),9,Monster,Huge,Giant,,,NE,5,W,17,138,12,12,60,40,,,,,26,13,20,16,15,15,,,,,89,,,,,,,,,,,,,
Blink Dog,0.25,Creature,Medium,Fey,,,LG,,,13,22,4,8,4,40,,,,,12,17,12,10,13,11,318,,,,,,,12,363,,,,,,,,,
Blood Hawk,0.125,Creature,Small,Beast,,,U,,,12,7,2,6,,10,,,60,,6,14,10,3,14,5,319,,,,,,,13,363,,,,,,,1:12,,
Blue Dragon Wyrmling,3,Monster,Medium,Dragon,,,LE,,,17,52,8,8,16,30,15,,60,,17,10,15,12,11,15,91,,,,,,,,287,,,,,,,,,
Blue Slaad,7,Monster,Large,Aberration,Slaad,,CN,,,15,123,13,10,52,30,,,,,20,15,18,7,7,9,276,,,,,,,,,,,,"11:33, 14:20",,,,,
Boar,0.25,Creature,Medium,Beast,,,U,,,11,11,2,8,2,40,,,,,13,11,12,2,9,5,319,304,,,,,,13,363,,,,11:33,,,,,2:28
Boar Pit Fighter,3,NPC,Medium,Humanoid,Human,,LE,,,15,58,15,8,45,30,,,,,16,16,14,10,12,15,,,,,,,,,,,,,,,,4:25,,
Bodyguard,2,NPC,Medium,Humanoid,Human,,N,,,15,65,10,8,20,30,,,,,15,16,14,14,11,10,,,,,,,,,,,,,,,,10:28,,
Bone Devil,9,Monster,Large,Fiend,Devil,,LE,,,19,142,15,10,60,40,,,40,,18,16,18,13,14,16,71,,,,,,,,278,,8,,,,,,,
Bone Naga,4,Monster,Large,Undead,Naga,,LE,5,C|W,15,58,9,10,9,30,,,,,15,16,12,15,15,16,233,,,,,,,,,,,,,,,,,
Brass Dragon Wyrmling,1,Monster,Medium,Dragon,,,CG,,,16,16,3,8,3,30,15,,60,,15,10,13,10,11,13,106,,,,,,,,295,,,,,,,,,
Breex Vandermast,3,NPC,Medium,Humanoid,Half-Orc,,NE,5,S,16,71,11,8,21,30,,,,,16,14,14,11,10,15,,,,,,,,,,,,,,,,,,2:27
Bronze Dragon Wyrmling,2,Monster,Medium,Dragon,,,LG,,,17,32,5,8,10,30,,,60,30,17,10,15,12,11,15,109,,,,,,,,298,,,,,,,,,
Brown Bear,1,Creature,Large,Beast,,,U,,,11,34,4,10,12,40,,30,,,19,10,16,2,13,7,319,304,,,,,,13,364,,,,,,,,,
Bugbear,1,Monster,Medium,Humanoid,Goblinoid,,CE,,,16,27,5,8,5,30,,,,,15,14,13,8,11,9,33,,,56,,,,13,269,,,,1:15,,,9:56,,
Bugbear Chief,3,Monster,Medium,Humanoid,Goblinoid,,CE,,,17,65,10,8,20,30,,,,,17,14,14,11,12,11,33,,,,,,,,,,,,,,,9:56,,
Bulette,5,Monster,Large,Monstrosity,,,U,,,17,94,9,10,45,40,40,,,,19,11,21,2,10,5,34,,,,,,,,269,,,,13:24,10,,4:28,,7:28
Bullywug,0.25,Monster,Medium,Humanoid,Bullywug,,NE,,,15,11,2,8,2,20,,,,40,12,12,13,7,10,7,35,,,,,,,,,7,,,,,,1:32,,
Burrowshark,4,NPC,Medium,Humanoid,Human,,NE,,,18,82,11,8,33,30,,,,,18,12,16,10,11,13,,,,,,,196,,,,,,,,,,,
Cambion,5,Monster,Medium,Fiend,,,*E,,,19,82,11,8,33,30,,,60,,18,18,16,14,12,16,36,,,,,,,,,,,,10:31,,,,,"4:49, 9:31"
Camel,0.125,Creature,Large,Beast,,,U,,,9,15,2,10,4,50,,,,,16,8,14,2,8,5,320,,,,,,,14,364,,,,,,,,,
Captain Othelstan,5,NPC,Medium,Humanoid,Human,,LE,,,19,93,11,10,33,30,,,,,19,10,16,13,14,12,,,,,89,,,,,,,,,,,,,
Carrion Crawler,2,Monster,Large,Monstrosity,,,U,,,13,51,6,10,18,30,,30,,,14,13,16,1,12,5,37,,,,,,,,,,,,"6:26, 14:20",,,,,
Cat,0,Creature,Tiny,Beast,,,U,,,12,2,1,4,,40,,30,,,3,15,10,3,12,7,320,305,,,,,,14,364,,,,,,,,,
Centaur,2,Monster,Large,Monstrosity,,,NG,,,12,45,6,10,12,50,,,,,18,14,14,9,13,11,38,,,,,,,14,270,,,,,,,,,
Chain Devil,8,Monster,Medium,Fiend,Devil,,LE,,,16,85,10,8,40,30,,,,,18,15,18,11,12,14,72,,,,,,,,278,,,,,,,,,
Chasme,6,Monster,Large,Fiend,Demon,,CE,,,15,84,13,10,13,20,,,60,,15,15,12,11,14,10,57,,,,,,,,,,,,,,,,,"3:29, 4:41"
Chimera,6,Monster,Large,Monstrosity,,,CE,,,14,114,12,10,48,30,,,60,,19,11,19,3,14,10,39,,,,,,,14,270,,8,,11:34,,,4:26,,
Chuul,4,Monster,Large,Aberration,,,CE,,,16,93,11,10,33,30,,,,30,19,10,16,5,11,5,40,,,,,,,,270,,9,,,11,,,,
Clay Golem,9,Monster,Large,Construct,Golem,,U,,,14,133,14,10,56,20,,,,,20,9,18,3,8,1,168,,,,,,,,318,,9,,,,,,,"4:44, 9:27"
Cloak of Mulmaster,2,NPC,Medium,Humanoid,Human,,N,5,W,12,22,5,8,,30,,,,,9,14,11,17,12,11,,,,,,,,,,,,,,,,10:27,,
Cloaker,8,Monster,Large,Aberration,,,CN,,,14,78,12,10,12,10,,,40,,17,15,12,13,12,14,41,,,,,,,,271,,,,,11,,,,4:41
Cloud Giant,9,Monster,Huge,Giant,,,NG|NE,,,14,200,16,12,96,40,,,,,27,10,22,12,16,16,154,,,,,,,,315,,,,,12,,13:35,,
Cockatrice,0.5,Monster,Small,Monstrosity,,,U,,,11,27,6,6,6,20,,,40,,6,12,12,2,13,5,42,,,,,,,15,271,,,,,,,,,
Commoner,0,NPC,Medium,Humanoid,Any,,Any,,,10,4,1,8,,30,,,,,10,10,10,10,10,10,345,,,56,,,,54,393,7,10,,"2:24, 3:29, 7:21, 9:26",,,"2:21, 3:23, 5:26",,"2:26, 3:24, 4:40, 5:24, 6:18, 9:26"
Constrictor Snake,0.25,Creature,Large,Beast,,,U,,,12,13,2,10,2,30,,,,30,15,14,12,1,10,3,320,305,,,,,,15,364,,,,,,,,,
Copper Dragon Wyrmling,1,Monster,Medium,Dragon,,,CG,,,16,22,4,8,4,30,,30,60,,15,12,13,14,11,13,112,,,,,,,,301,,,,,,,,,
Couatl,4,Monster,Medium,Celestial,,,LG,,,19,97,13,8,39,30,,,90,,16,20,17,18,20,18,43,,,,,,,,272,,,,,,,,,
Crab,0,Creature,Tiny,Beast,,,U,,,11,2,1,4,,20,,,,20,2,11,10,1,8,2,320,,,,,,,15,365,,,,,,,,,
Crawling Claw,0,Monster,Tiny,Undead,,,NE,,,12,2,1,4,,20,,20,,,13,14,11,5,10,4,44,,,,,,,,,,,,11:34,12,,,,
Crocodile,0.5,Creature,Large,Beast,,,U,,,12,19,3,10,3,20,,,,30,15,10,13,2,10,5,320,305,,,,,,15,365,7,,,7:21,,,12:19,,
Crushing Wave Priest,2,NPC,Medium,Humanoid,Human,,NE,5,S,13,52,8,8,16,30,,,,,15,11,14,10,11,16,,,,,,,205,,,,,,,,51,"3:26, 8:18, 12:21",,
Crushing Wave Reaver,0.5,NPC,Medium,Humanoid,Human,,NE,,,14,22,4,8,4,30,,,,,15,14,13,10,11,8,,,,,,,205,,,,,,,,52,"3:23, 8:19, 12:19",,
Cult Assassin,1,NPC,Medium,Humanoid,Human,,CE,,,15,32,6,8,5,30,,,30,,12,16,12,12,14,14,,,,,,,,,,,,,,,,10:28,,
Cult Fanatic,2,NPC,Medium,Humanoid,Any,,!G,4,C,13,33,6,8,6,30,,,,,11,14,12,10,13,14,345,,,,,,,,393,,10,,"3:30, 5:21, 10:35/36, 12:27",12,,"2:23, 9:57",,
Cultist,0.125,NPC,Medium,Humanoid,Any,,!G,,,12,9,2,8,,30,,,,,11,12,10,10,11,10,345,,,56,,,,54,393,7,10,,4:21,,,"2:23, 5:26, 9:56, 10:29, 12:20",,1:42
Cyclops,6,Monster,Huge,Giant,,,CN,,,14,138,12,12,60,30,,,,,22,11,20,8,6,10,45,,,,,,,16,,,10,,13:24,,,13:35,,
Dao,11,Monster,Large,Elemental,Genie,,NE,,,18,187,15,10,105,30,30,,30,,23,12,24,12,13,14,143,,,,,,,,,,11,,,13,,,,
Dark Tide Knight,3,NPC,Medium,Humanoid,Human,,LE,,,13,58,9,8,18,30,,,,,17,16,14,10,11,11,,,,,,,205,,,,,,,,,,,
Darkmantle,0.5,Monster,Small,Monstrosity,,,U,,,11,22,5,6,5,10,,,30,,16,12,13,2,10,5,46,,,,,,,,272,,,,,13,,,,
Death Dog,1,Creature,Medium,Monstrosity,,,NE,,,12,39,6,8,12,40,,,,,15,14,14,3,13,6,321,,,,,,,16,365,,,,"11:34, 13:24",,,,,5:26
Death Knight,17,Monster,Medium,Undead,,,CE,19,P,20,180,19,8,95,30,,,,,20,11,20,12,16,18,47,,,,,,,,,,,,,,,,,
Death Slaad,10,Monster,Medium,Aberration,Slaad,1,CE,,,18,170,20,8,80,30,,,,,20,15,19,15,10,16,278,,,,,,,,,,,,,,,,,
Death Tyrant,14,Monster,Large,Undead,,,LE,,,19,187,25,10,50,0,,,20,,10,14,14,19,15,19,29,,,,,,,,,,,,,,,,,
Death Tyrant (in lair),15,Monster,Large,Undead,,,LE,,,19,187,25,10,50,0,,,20,,10,14,14,19,15,19,29,,,,,,,,,,,,,,,,,
Deep Gnome (Svirfneblin),0.5,Monster,Small,Humanoid,Gnome,,NG,,,15,16,3,6,6,20,,,,,15,14,14,12,10,9,164,,,,,,,,318,,,,,13,,11:21,,
Deer,0,Creature,Medium,Beast,,,U,,,13,4,1,8,,50,,,,,11,16,11,2,14,5,321,,,,,,,16,365,7,,,,,,,,
Demilich,18,Monster,Tiny,Undead,,,NE,,,20,80,20,4,,0,,,30,,1,20,10,20,17,20,48,,,,,,,,,,,,,,,,,
Demilich (in lair),20,Monster,Tiny,Undead,,,NE,,,20,80,20,4,,0,,,30,,1,20,10,20,17,20,48,,,,,,,,,,,,,,,,,
Derro,0.25,Monster,Small,Humanoid,Derro,,CE,,,13,13,3,6,3,30,,,,,9,14,12,11,5,9,,,,,,,,,,,,,,,,,59,3:26
Derro Savant,3,Monster,Small,Humanoid,Derro,,CE,5,S,13,49,11,6,11,30,,,,,9,14,12,11,5,14,,,,,,,,,,,,,,,,,60,
Deva,10,Monster,Medium,Celestial,,,LG,,,17,136,16,8,64,30,,,90,,18,18,18,17,20,20,16,,,,,,,,264,,,,,,,,,
Dire Wolf,1,Creature,Large,Beast,,,U,,,14,37,5,10,10,50,,,,,17,15,15,3,12,7,321,305,,,,,,16,366,,,,3:29,,,,,
Displacer Beast,3,Monster,Large,Monstrosity,,,LE,,,13,85,10,10,30,40,,,,,18,15,16,6,12,8,81,,,,,,,,,,,,8:25,,,,,
Djinni,11,Monster,Large,Elemental,Genie,,CG,,,17,161,14,10,84,30,,,90,,21,15,22,15,16,20,144,,,,,,,,312,,,,,14,,,,
Doppelganger,3,Monster,Medium,Monstrosity,,1,N,,,14,52,8,8,16,30,,,,,11,18,14,11,12,14,82,,,56,,,,17,282,8,,,,,,4:30,,3:19
"Doril Cire, Fire Cultist",0.25,NPC,Medium,Humanoid,Human,,NE,,,13,11,2,8,2,30,,,,,11,14,13,10,11,12,,,,,,,,,,,,,,,,5:26,,
Draft Horse,0.25,Creature,Large,Beast,,,U,,,10,19,3,10,3,40,,,,,18,10,12,2,11,7,321,,,,,,,17,366,,,,,,,,,5:26
Dragon Turtle,17,Monster,Gargantuan,Dragon,,,N,,,20,341,22,20,110,20,,,,40,25,10,20,10,12,12,119,,,,,,,,306,,,,,14,,,,
Dragonclaw,1,NPC,Medium,Humanoid,Human,,NE,,,14,16,3,8,3,30,,,,,9,16,13,11,10,12,,,,,89,89,,,,,,36,13:25,,,,,
Dragonfang,5,NPC,Medium,Humanoid,Human,,NE,,,15,78,12,8,24,30,,,,,11,16,14,12,12,14,,,,,,89,,,,,,,,,,,,
Dragonsoul,7,NPC,Medium,Humanoid,Human,,NE,,,16,110,17,8,34,30,,,,,11,18,14,13,12,16,,,,,,89,,,,,,,,,,,,
Dragonwing,2,NPC,Medium,Humanoid,Human,,NE,,,14,33,6,8,6,30,,,,,11,16,13,11,11,13,,,,,89,90,,,,,,,13:25,,,,,
Dralmorrer Borngray,3,NPC,Medium,Humanoid,Elf,,NE,7,W,16,52,7,10,14,30,,,,,18,14,14,16,10,8,,,,,90,,,,,,,,,,,,,
Drannin Splithelm,7,NPC,Medium,Humanoid,Shield Dwarf,,NE,,,18,93,11,8,44,25,,,,,19,10,18,11,8,12,,,,,,,209,,,,,,,,,,,
Dretch,0.25,Monster,Small,Fiend,Demon,,CE,,,11,18,4,6,4,20,,,,,11,11,12,5,8,3,57,,,,,,,,273,,,,,,,1:39,,"1:36, 3:28"
Drider,6,Monster,Large,Monstrosity,,,CE,,,19,123,13,10,52,30,,30,,,16,16,18,13,14,12,120,,,,,,,,307,,,,,,,,,
Drow,0.25,Monster,Medium,Humanoid,Elf,,NE,,,15,13,3,8,,30,,,,,10,14,10,11,11,12,128,,,,,,,,310,,,,,,,,,"3:24, 7:30"
Drow Elite Warrior,5,Monster,Medium,Humanoid,Elf,,NE,,,18,71,11,8,22,30,,,,,13,18,14,11,13,12,128,,,,,,,,,,,,,,,,,"7:30, 8:28, 9:26"
Drow Mage,7,Monster,Medium,Humanoid,Elf,,NE,10,W,12,45,10,8,,30,,,,,9,14,10,17,13,12,129,,,,,,,,,,,,,15,,,,7:31
Drow Priestess of Lolth,8,Monster,Medium,Humanoid,Elf,,NE,10,C,16,71,13,8,13,30,,,,,10,14,12,13,17,18,129,,,,,,,,,,,,,,,,,
Drow Spore Servant,0.125,Monster,Medium,Plant,Myconid,,U,,,15,13,3,8,,20,,,,,10,14,10,2,6,1,,,,,,,,,,,,,,,,,61,
Druid,2,NPC,Medium,Humanoid,Any,,Any,4,D,11,27,5,8,5,30,,,,,10,12,13,12,15,11,346,,,,,,,,393,,11,,"11:35, 13:25",15,,8:20,,2:29
Dryad,1,Monster,Medium,Fey,,,N,,,11,22,5,8,,30,,,,,10,12,11,14,15,18,121,,,,,,,,307,,,,,,,,,
Duergar,1,Monster,Medium,Humanoid,Dwarf,,LE,,,16,26,4,8,8,25,,,,,14,11,14,11,10,9,122,,,,,,,,308,,,,,16,,,,"1:22, 5:27, 8:27"
Duergar Kavalrachni,2,Monster,Medium,Humanoid,Dwarf,,LE,,,16,26,4,8,8,25,,,,,14,11,14,11,10,9,,,,,,,,,,,,,,,,,61,
Duergar Spore Servant,0.5,Monster,Medium,Plant,Myconid,,U,,,16,26,4,8,8,15,,,,,14,11,14,2,6,1,,,,,,,,,,,,,,,,,62,
Duodrone,0.25,Monster,Medium,Construct,Modron,,LN,,,15,11,2,8,2,30,,,,,11,13,12,6,10,7,225,,,,,,,,,,,,,,,,,
Dust Mephit,0.5,Monster,Small,Elemental,Mephit,,NE,,,12,17,5,6,,30,,,30,,5,14,10,9,11,10,215,,,,,,,,333,,,,,16,,"6:33, 9:58, 10:27",,
Eagle,0,Creature,Small,Beast,,,U,,,12,3,1,6,,10,,,60,,6,15,10,2,14,7,322,,,,,,,17,366,,,,,,,,,
Earth Elemental,5,Monster,Large,Elemental,,,N,,,17,126,12,10,60,30,30,,,,20,8,20,5,10,5,124,,,,,,,17,309,,12,,,,,,,
Earth Elemental Myrmidon,7,Monster,Medium,Elemental,,,N,,,18,127,17,8,51,30,,,,,18,10,17,8,10,10,,,,,,,212,,,,,,,,,,,
